Username,PanelID,Date,Start,End,FeedPanelEnd,FeedTime,Duration,Size,ProcessSide,Area,HoleCount,GrooveCount,MillCount,WorkArea,PositioningEnd,PositioningTime
,BASE TST,2025/04/30,00:06:29,00:07:32,00:06:48,17.472,44.054,2519.4 x 459.4 x 15.3,XY1,1.157,18,0,0,Default,00:06:31,1.622
,PAINEL FRONT TST,2025/04/30,00:09:09,00:09:56,00:09:30,19.718,26.333,2550 x 485.3 x 15.3,XY1,1.238,14,0,0,Default,00:09:10,1.310
,porta com 90,2025/04/30,00:12:24,00:12:50,00:12:35,9.298,14.851,476 x 356 x 15.3,XY1,.169,6,0,0,Default,00:12:26,1.373
,TRAVA INF CIG X,2025/04/30,00:15:20,00:16:44,00:15:36,14.851,68.016,1889 x 625 x 15.3,XY1,1.181,232,0,0,Default,00:15:21,1.388
,TRAVA INF CIG X,2025/04/30,00:19:23,00:21:39,00:19:30,5.242,128.981,1889 x 625 x 15.3,XY1,1.181,230,0,0,Default,00:19:24,1.076
,SUP CIG,2025/04/30,00:23:01,00:24:16,00:23:50,47.674,25.350,1889 x 625 x 15.3,XY1,1.181,14,0,0,Default,00:23:03,1.498
,LAT DIR CX ESQ,2025/04/30,00:25:16,00:26:13,00:25:31,12.854,42.182,774.44 x 380 x 15.3,XY1,.294,40,0,0,Default,00:25:18,1.513
,LAT ESQ CX DIR,2025/04/30,00:26:39,00:27:54,00:27:13,32.635,40.950,774.44 x 380 x 15.3,XY1,.294,42,0,0,Default,00:26:41,1.186
,BASE CX INF DIR X,2025/04/30,00:35:12,00:36:38,00:35:29,15.600,68.702,1241.4 x 380 x 15.3,XY1,.472,21,1,0,Default,00:35:13,1.310
,BASE CX INF ESQ X,2025/04/30,00:37:25,00:38:59,00:37:53,25.771,66.394,1241.4 x 380 x 15.3,XY1,.472,21,1,0,Default,00:37:27,1.435
,LAT_DIR_TST,2025/04/30,00:42:36,00:43:03,00:42:39,1.872,24.274,485.3 x 474.7 x 15.3,XY1,.230,9,0,0,Default,00:42:37,.811
,LAT_ESQ_TST,2025/04/30,00:43:42,00:44:45,00:44:26,42.994,18.923,474.7 x 485.3 x 15.3,XY1,.230,9,0,0,Default,00:43:43,.874
,LAT DIR CREM,2025/04/30,00:45:41,00:46:43,00:46:10,28.392,32.448,1250 x 350.7 x 18.3,XY1,.438,39,0,0,Default,00:45:42,1.139
,LAT ESQ  CREM,2025/04/30,00:47:38,00:48:53,00:48:20,40.310,33.571,1250 x 350.7 x 18.3,XY1,.438,39,0,0,Default,00:47:39,1.061
,RDP TRAS ESQ,2025/04/30,00:49:57,00:50:44,00:50:14,15.538,30.014,1256.7 x 100 x 15.3,XY1,.126,16,0,0,Default,00:49:59,1.622
,TRAV TRAS X,2025/04/30,00:51:05,00:51:50,00:51:11,4.181,39.390,1241.4 x 150 x 15.3,XY1,.186,24,0,0,Default,00:51:06,1.123
,TRAV TRAS X,2025/04/30,00:52:08,00:52:50,00:52:10,1.747,39.562,1241.4 x 150 x 15.3,XY1,.186,24,0,0,Default,00:52:09,.811
,PAINEL CREM,2025/04/30,00:53:37,00:55:09,00:54:30,51.371,39.078,1213.4 x 460.4 x 15.3,XY1,.559,20,0,0,Default,00:53:38,1.810
,BASE CIG,2025/04/30,00:57:20,00:58:31,00:58:09,47.362,22.277,1889 x 154.55 x 15.3,XY1,.292,4,0,0,Default,00:57:22,1.622
,RDP ESQ DIR,2025/04/30,00:59:38,01:00:02,00:59:43,4.243,19.235,319.4 x 100 x 15.3,XY1,.032,8,0,0,Default,00:59:39,1.186
,RDP TRAS DIR,2025/04/30,01:00:15,01:00:48,01:00:18,1.934,29.827,1256.7 x 100 x 15.3,XY1,.126,16,0,0,Default,01:00:16,1.061
,PORTA_CHAVE,2025/04/30,01:04:54,01:05:07,01:04:58,3.307,8.564,738.84 x 311.775 x 15.3,XY1,.230,2,0,0,Default,01:04:55,1.248
,PORTA_ESQ,2025/04/30,01:05:50,01:06:16,01:06:06,15.101,9.797,738.84 x 311.775 x 15.3,XY1,.230,2,0,0,Default,01:05:51,.936
,PORTA_ESQ,2025/04/30,01:06:40,01:07:02,01:06:53,12.418,8.736,738.84 x 311.775 x 15.3,XY1,.230,2,0,0,Default,01:06:41,.562
,PORTA_ESQ,2025/04/30,01:07:19,01:07:31,01:07:22,2.683,8.611,738.84 x 311.775 x 15.3,XY1,.230,2,0,0,Default,01:07:20,.936
