codigo_layout;qtd_chapas;perc_aproveitamento;perc_sobras;tempo_estimado_seg;descricao_material;id_recurso;mm_comprimento;mm_largura;mm_comp_linear;nome_projeto;codigo_lote;tipo
5432I29831L1-;1;14.354066986;0;31.354083882;CHAPA MDF BP 2F 15 MM CRISTALLO BRANCO (DUR);2;2750;475;6000;5432_SEC_COLOR_15_18_25MM_REOT_2;5432;sobra
5432I29831L2-;1;72.831921047;0;97.928938033;CHAPA MDP BP 2F 15 MM CILIEGIO PORO;2;2490.4;779;10226.2;5432_SEC_COLOR_15_18_25MM_REOT_2;5432;sobra
5432I29831L3-;1;75.192852578;0;192.548090714;CHAPA MDP BP 2F 15 MM CACAO MATT;2;1983.6;354;11360.8;5432_SEC_COLOR_15_18_25MM_REOT_2;5432;sobra
5432I29831L4-;1;63.153598574;0;125.556414093;CHAPA MDP BP 2F 15 MM CACAO MATT;2;2318;482;10936;5432_SEC_COLOR_15_18_25MM_REOT_2;5432;sobra
5432I29831L5-;1;47.173071606;0;31.122185428;CHAPA MDP BP 2F 15 MM JEQUITIBA ROSA;2;2170.2;360;4730.4;5432_SEC_COLOR_15_18_25MM_REOT_2;5432;sobra
5432I29831L6-;1;57.242897159;0;80.873192015;CHAPA MDP BP 2F 18 MM JEQUITIBA ROSA;2;1666;360;5648;5432_SEC_COLOR_15_18_25MM_REOT_2;5432;sobra
5432I29831L7-;1;52.135862408;43.935135135;230.135760214;CHAPA MDP BP 2F 18 MM VERDE FLORESTA VELLUTO;2;2750;1850;19680;5432_SEC_COLOR_15_18_25MM_REOT_2;5432;chapa
5432I29831L8-;1;49.893280632;44.028063241;109.876982151;CHAPA MDP BP 2F 18 MM ESSENCIAL THASSOS;2;2750;1380;13112;5432_SEC_COLOR_15_18_25MM_REOT_2;5432;sobra
5432I29831L9-;1;85.60982801;0;38.01589402;CHAPA MDF BP 2F 18 MM AMRU;2;2750;1850;9160;5432_SEC_COLOR_15_18_25MM_REOT_2;5432;chapa
5432I29831L10-;1;74.454545455;0;91.785430461;CHAPA MDF BP 2F 18 MM AMRU;2;2750;280;11420;5432_SEC_COLOR_15_18_25MM_REOT_2;5432;sobra
5432I29831L11-;1;91.459867566;0;221.460591318;CHAPA MDP BP 2F 25 MM CINZA SAGRADO;2;2750;1175.2;23110;5432_SEC_COLOR_15_18_25MM_REOT_2;5432;sobra
5432I29831L12-;1;82.893972332;0;436.622687526;CHAPA MDP BP 2F 25 MM CINZA SAGRADO;2;2750;1840;37765;5432_SEC_COLOR_15_18_25MM_REOT_2;5432;chapa
5432I29831L13-;1;16.719367589;80.195652174;106.03751527;CHAPA MDP BP 2F 25 MM CINZA SAGRADO;2;2750;1840;10440;5432_SEC_COLOR_15_18_25MM_REOT_2;5432;chapa
5432I29831L14-;1;95.231745761;0;238.796516436;CHAPA MDP BP 2F 25 MM FRAPE SETHOS;2;2750;1707.2;22385;5432_SEC_COLOR_15_18_25MM_REOT_2;5432;sobra
5432I29831L15-;1;94.229437229;0;136.35239582;CHAPA MDP BP 2F 25 MM FRAPE SETHOS;2;2750;1050;13550;5432_SEC_COLOR_15_18_25MM_REOT_2;5432;sobra
5432I29831L16-;1;93.665461368;0;202.452181323;CHAPA MDP BP 2F 25 MM FRAPE SETHOS;2;2750;1066;17839;5432_SEC_COLOR_15_18_25MM_REOT_2;5432;sobra
5432I29831L17-;1;93.39717564;0;168.669496326;CHAPA MDP BP 2F 25 MM FRAPE SETHOS;2;2750;1030;13825;5432_SEC_COLOR_15_18_25MM_REOT_2;5432;sobra
5432I29831L18-;1;84.535033082;0;174.394278606;CHAPA MDP BP 2F 25 MM FRAPE SETHOS;2;2750;1500.4;20360;5432_SEC_COLOR_15_18_25MM_REOT_2;5432;sobra
5432I29831L19-;1;74.91830303;0;89.270913927;CHAPA MDP BP 2F 25 MM FRAPE SETHOS;2;2750;750;11756;5432_SEC_COLOR_15_18_25MM_REOT_2;5432;sobra
5432I29831L20-;1;26.894405179;65.086380072;141.958482454;CHAPA MDF BP 2F 25 MM NATURAL JADE;2;1925.6;995.6;10508;5432_SEC_COLOR_15_18_25MM_REOT_2;5432;sobra
5432I29831L21-;1;83.556606962;0;65.765011024;CHAPA MDP BP 2F 25 MM LOURO FREIJO TREND;2;2750;1345;10700;5432_SEC_COLOR_15_18_25MM_REOT_2;5432;sobra
5432I29831L22-;1;84.634066295;0;186.199467655;CHAPA MDP BP 2F 25 MM LOURO FREIJO TREND;2;2750;1385;18780;5432_SEC_COLOR_15_18_25MM_REOT_2;5432;sobra
5432I29831L23-;1;59.646905637;0;31.775717435;CHAPA MDP BP 2F 25 MM LOURO FREIJO TREND;2;2560;510;5820;5432_SEC_COLOR_15_18_25MM_REOT_2;5432;sobra
5432I29831L24-;1;78.383838384;0;122.54922737;CHAPA MDP BP 2F 25 MM OASIS ESSENCIAL WOOD;2;2750;360;14390;5432_SEC_COLOR_15_18_25MM_REOT_2;5432;sobra
5432I29831L25-;1;63.353029441;12.960935479;306.290987031;CHAPA MDP BP 2F 25 MM OASIS ESSENCIAL WOOD;2;2750;1757;33410;5432_SEC_COLOR_15_18_25MM_REOT_2;5432;sobra
5432I29831L26-;1;51.228956229;30.588552189;94.905518754;CHAPA MDP BP 2F 25 MM LANA CONCEITO;2;2750;1080;12900;5432_SEC_COLOR_15_18_25MM_REOT_2;5432;sobra
5432I29831L27-;1;70.539419087;17.17314221;33.883885201;CHAPA MDP BP 2F 25 MM LANA CONCEITO;2;2750;964;7200;5432_SEC_COLOR_15_18_25MM_REOT_2;5432;sobra
5432I29831L28-;1;92.487160039;0;158.504787019;CHAPA MDP BP 2F 25 MM TRAMA GIANDUIA;2;2750;839;15704;5432_SEC_COLOR_15_18_25MM_REOT_2;5432;sobra
5432I29831L29-;1;90.786548411;0;223.315494842;CHAPA MDP BP 2F 25 MM TRAMA GIANDUIA;2;2750;1230;20962;5432_SEC_COLOR_15_18_25MM_REOT_2;5432;sobra
5432I29831L30-;1;87.136311908;0;116.630930249;CHAPA MDP BP 2F 25 MM TRAMA GIANDUIA;2;2750;1230.2;17287;5432_SEC_COLOR_15_18_25MM_REOT_2;5432;sobra
5432I29831L31-;1;81.965490196;0;180.189758845;CHAPA MDP BP 2F 25 MM TRAMA GIANDUIA;2;2750;765;15356;5432_SEC_COLOR_15_18_25MM_REOT_2;5432;sobra
5432I29831L32-;1;71.261115109;0;38.247940246;CHAPA MDF BP 2F 25 MM AMRU;2;2570;319;5920;5432_SEC_COLOR_15_18_25MM_REOT_2;5432;sobra
5432I29831L33-;1;80.762382445;0;61.968309448;CHAPA MDF BP 2F 25 MM AMRU;2;2750;725;8170;5432_SEC_COLOR_15_18_25MM_REOT_2;5432;sobra
5432I29831L34-;1;67.737209302;0;31.838962468;CHAPA MDF BP 2F 25 MM AMRU;2;2150;500;5030;5432_SEC_COLOR_15_18_25MM_REOT_2;5432;sobra
5432I29831L35-;1;61.320574163;0;67.74436538;CHAPA MDF BP 2F 25 MM BRAN;2;2750;190;8650;5432_SEC_COLOR_15_18_25MM_REOT_2;5432;sobra
5432I29831L36-;1;83.925514689;0;191.758148516;CHAPA MDP BP 2F 25 MM KASHIMIR CHESS;2;2750;1179;20310;5432_SEC_COLOR_15_18_25MM_REOT_2;5432;sobra
5432I29831L37-;1;91.147844882;0;139.648997353;CHAPA MDP BP 2F 25 MM JEQUITIBA ROSA;2;2750;1430;18308;5432_SEC_COLOR_15_18_25MM_REOT_2;5432;sobra
5432I29831L38-;1;78.626684651;0;252.716941674;CHAPA MDP BP 2F 25 MM JEQUITIBA ROSA;2;2750;1685;27947;5432_SEC_COLOR_15_18_25MM_REOT_2;5432;sobra
5432I29831L39-;1;20.927371542;68.815217391;62.940066219;CHAPA MDP BP 2F 25 MM JEQUITIBA ROSA;2;2750;1840;9360;5432_SEC_COLOR_15_18_25MM_REOT_2;5432;chapa
5432I29831L40-;1;81.717845253;0;63.846578358;CHAPA MDP BP 2F 25 MM OFF WHITE VELLUTO;2;1263;830;5329;5432_SEC_COLOR_15_18_25MM_REOT_2;5432;sobra
5432I29831L41-;1;71.830888512;0;33.757395135;CHAPA MDP BP 2F 25 MM OFF WHITE VELLUTO;2;719;905;3078;5432_SEC_COLOR_15_18_25MM_REOT_2;5432;sobra
5432I29831L42-;1;58.920047733;0;31.775717435;CHAPA MDP BP 2F 25 MM OFF WHITE VELLUTO;2;1257;560;3214;5432_SEC_COLOR_15_18_25MM_REOT_2;5432;sobra
5432I29831L43-;1;21.063241107;76.134387352;148.322171468;CHAPA MDF BP 2F 25 MM GRAFITO CHESS;2;2750;1840;12794;5432_SEC_COLOR_15_18_25MM_REOT_2;5432;chapa
5432I29831L44-;1;88.335866261;0;59.311176081;CHAPA MDP BP 2F 25 MM EBANO CHESS;2;1645;320;5090;5432_SEC_COLOR_15_18_25MM_REOT_2;5432;sobra
5432I29831L45-;1;76.707347447;0;181.181170232;CHAPA MDP BP 2F 25 MM EBANO CHESS;2;2750;1095;15930;5432_SEC_COLOR_15_18_25MM_REOT_2;5432;sobra
5432I29831L46-;1;79.66750768;0;31.817880791;CHAPA MDP BP 2F 25 MM ESSENCIAL ITAPUA;2;2060;410.2;4840;5432_SEC_COLOR_15_18_25MM_REOT_2;5432;sobra
5432I29831L47-;1;19.264754399;59.941440616;113.447881277;CHAPA MDF BP 2F 15 MM NATURAL JADE;2;2200;992;10082;5432_SEC_COLOR_15_18_25MM_REOT_2;5432;sobra
5432I29831L48-;1;22.527272727;0;33.753178799;CHAPA MDP BP 2F 15 MM CERRADO;2;300;1430;2238;5432_SEC_COLOR_15_18_25MM_REOT_2;5432;sobra
5432I29831L49-;1;11.150144928;0;32.361788074;CHAPA MDP BP 2F 15 MM ESSENCIAL ITAPUA;2;345;1500;1668;5432_SEC_COLOR_15_18_25MM_REOT_2;5432;sobra
5432I29831L50-;1;60.63716545;0;102.804497674;CHAPA MDP BP 2F 15 MM FRAPE SETHOS;2;1315.2;320;5599.6;5432_SEC_COLOR_15_18_25MM_REOT_2;5432;sobra
5432I29831L51-;1;21.321972708;0;30.797527593;CHAPA MDP BP 2F 15 MM TRAMA GIANDUIA;2;1967.4;234.6;4170.8;5432_SEC_COLOR_15_18_25MM_REOT_2;5432;sobra
5432I29831L52-;1;84.487427466;0;367.141721845;CHAPA MDP BP 2F 18 MM NOGUEIRA VENETO;2;2750;987;37430;5432_SEC_COLOR_15_18_25MM_REOT_2;5432;sobra
5432I29831L53-;1;61.280727845;0;94.004215198;CHAPA MDP BP 2F 15 MM OASIS ESSENCIAL WOOD;2;1633;280;5799;5432_SEC_COLOR_15_18_25MM_REOT_2;5432;sobra
