id_ordem;id_unico_peca;codigo_layout;qtd_cortada_no_layout;tempo_corte_segundos;id_fig;codigo_layout_pai
10977347;167845069;5432I29831L1-;1;31.354083882;;
10994298;167882314;5432I29831L2-;1;16.633895013;;
10989864;167871443;5432I29831L2-;1;16.633895013;;
10989864;167871444;5432I29831L2-;1;16.633895013;;
10973599;167837329;5432I29831L2-;1;13.494247329;;
10973598;167837326;5432I29831L2-;1;13.494247329;;
10973598;167837327;5432I29831L2-;1;13.494247329;;
10973682;167837512;5432I29831L2-;1;7.544511007;;
10989440;167870187;5432I29831L3-;1;46.824194787;;
10991269;167874187;5432I29831L3-;1;13.784692858;;
10991269;167874188;5432I29831L3-;1;13.784692858;;
10991269;167874189;5432I29831L3-;1;13.784692858;;
10991269;167874190;5432I29831L3-;1;13.784692858;;
10991269;167874191;5432I29831L3-;1;13.784692858;;
10991269;167874192;5432I29831L3-;1;13.784692858;;
10991269;167874193;5432I29831L3-;1;13.784692858;;
10991269;167874194;5432I29831L3-;1;13.784692858;;
10991271;167874205;5432I29831L3-;1;8.861588266;;
10991271;167874206;5432I29831L3-;1;8.861588266;;
10991271;167874207;5432I29831L3-;1;8.861588266;;
10991271;167874208;5432I29831L3-;1;8.861588266;;
10991270;167874201;5432I29831L4-;1;14.57351235;;
10991270;167874202;5432I29831L4-;1;14.57351235;;
10991270;167874203;5432I29831L4-;1;14.57351235;;
10991270;167874204;5432I29831L4-;1;14.57351235;;
10991269;167874195;5432I29831L4-;1;6.726236469;;
10991269;167874196;5432I29831L4-;1;6.726236469;;
10991269;167874197;5432I29831L4-;1;6.726236469;;
10991269;167874198;5432I29831L4-;1;6.726236469;;
10991269;167874199;5432I29831L4-;1;6.726236469;;
10991269;167874200;5432I29831L4-;1;6.726236469;;
10991268;167874183;5432I29831L4-;1;6.726236469;;
10991268;167874184;5432I29831L4-;1;6.726236469;;
10991268;167874185;5432I29831L4-;1;6.726236469;;
10991268;167874186;5432I29831L4-;1;6.726236469;;
10989441;167870188;5432I29831L5-;1;31.122185428;;
10974751;167840056;5432I29831L6-;1;56.534912279;;
10976248;167843037;5432I29831L6-;1;6.084569934;;
10976248;167843038;5432I29831L6-;1;6.084569934;;
10977189;167844734;5432I29831L6-;1;6.084569934;;
10977189;167844735;5432I29831L6-;1;6.084569934;;
10991151;167873891;5432I29831L7-;1;86.166901984;;
10993789;167881325;5432I29831L7-;1;13.807041966;;
10993790;167881326;5432I29831L7-;1;7.756765149;;
10983377;167858238;5432I29831L7-;1;19.363280519;;
10983380;167858241;5432I29831L7-;1;19.363280519;;
10975986;167842685;5432I29831L7-;1;18.311692223;;
10980696;167852285;5432I29831L7-;1;2.235058951;;
10993797;167881338;5432I29831L7-;1;19.324236399;;
10975977;167842672;5432I29831L7-;1;21.903751252;;
10975977;167842673;5432I29831L7-;1;21.903751252;;
10975231;167841209;5432I29831L8-;1;57.345287048;;
10980267;167851357;5432I29831L8-;1;19.014993861;;
10980266;167851356;5432I29831L8-;1;18.127134226;;
10980268;167851358;5432I29831L8-;1;7.694783508;;
10980268;167851359;5432I29831L8-;1;7.694783508;;
10975704;167842284;5432I29831L9-;1;38.01589402;;
10993538;;5432I29831L10-;3;91.785430461;;
10987039;167865705;5432I29831L11-;1;81.51739744;;
10987428;167866450;5432I29831L11-;1;23.316373238;;
10987428;167866451;5432I29831L11-;1;23.316373238;;
10987040;167865711;5432I29831L11-;1;12.077761459;;
10987499;167866551;5432I29831L11-;1;11.987852565;;
10986311;167864343;5432I29831L11-;1;10.489370994;;
10980947;167852752;5432I29831L11-;1;14.160650842;;
10980947;167852753;5432I29831L11-;1;14.160650842;;
10980947;167852754;5432I29831L11-;1;14.160650842;;
10977015;167844426;5432I29831L11-;1;14.475331972;;
10985774;167863347;5432I29831L11-;1;1.798177885;;
10982038;167855213;5432I29831L12-;1;41.034528708;;
10982038;167855214;5432I29831L12-;1;41.034528708;;
10988347;167867893;5432I29831L12-;1;14.019610163;;
10988347;167867894;5432I29831L12-;1;14.019610163;;
10987490;167866531;5432I29831L12-;1;37.734694715;;
10987039;167865706;5432I29831L12-;1;113.256132001;;
10988404;167867976;5432I29831L12-;1;44.240676563;;
10980418;167851637;5432I29831L12-;1;33.310627059;;
10987164;167865932;5432I29831L12-;1;5.829359735;;
10985824;167863432;5432I29831L12-;1;17.652029949;;
10988070;167867443;5432I29831L12-;1;6.245742574;;
10980432;167851654;5432I29831L12-;1;18.737227721;;
10987164;167865933;5432I29831L12-;1;5.829359735;;
10986645;167864956;5432I29831L12-;1;19.111972275;;
10985774;167863348;5432I29831L12-;1;2.498297029;;
10988070;167867444;5432I29831L12-;1;6.245742574;;
