id_ordem;id_unico_peca;codigo_layout;qtd_cortada_no_layout;tempo_corte_segundos;recorte
;;5443I29951L1-;1;50.062135803;1
;;5443I29951L1-;1;48.470703103;1
;;5443I29951L1-;1;48.114192776;1
;;5443I29951L1-;1;47.816488275;1
;;5443I29951L1-;1;46.702852922;1
;;5443I29951L1-;1;45.831791606;1
;;5443I29951L1-;1;44.718156253;1
;;5443I29951L1-;1;40.35182358;1
;;5443I29951L1-;1;34.541072776;1
11017423;168195959;5443I29951L1-;1;14.70145681;0
;;5443I29951L1-;1;13.683663646;1
;;5443I29951L1-;1;26.717070549;1
;;5443I29951L1-;1;26.717070549;1
;;5443I29951L1-;1;26.717070549;1
;;5443I29951L1-;1;26.717070549;1
;;5443I29951L1-;1;26.717070549;1
;;5443I29951L1-;1;26.717070549;1
;;5443I29951L2-;1;71.586372356;1
11018224;168197483;5443I29951L3-;1;97.482179297;0
11018224;168197484;5443I29951L3-;1;97.482179297;0
;;5443I29951L3-;1;31.284523571;1
;;5443I29951L3-;1;29.444931272;1
;;5443I29951L3-;1;29.309768202;1
;;5443I29951L3-;1;16.653077134;1
;;5443I29951L3-;1;16.653077134;1
;;5443I29951L3-;1;16.653077134;1
;;5443I29951L3-;1;16.653077134;1
11018217;168197465;5443I29951L4-;1;32.864351747;0
11018217;168197466;5443I29951L4-;1;32.864351747;0
11018217;168197467;5443I29951L4-;1;32.864351747;0
11018217;168197468;5443I29951L4-;1;32.864351747;0
11018215;168197461;5443I29951L4-;1;75.454339145;0
11018222;168197479;5443I29951L4-;1;41.823964639;0
;;5443I29951L4-;1;23.934150617;1
;;5443I29951L4-;1;21.43839433;1
;;5443I29951L4-;1;13.827917986;1
;;5443I29951L4-;1;13.827917986;1
;;5443I29951L4-;1;13.827917986;1
11018215;168197462;5443I29951L5-;1;66.260309481;0
11018214;168197459;5443I29951L5-;1;41.290379995;0
11018214;168197460;5443I29951L5-;1;41.290379995;0
11018250;168197547;5443I29951L5-;1;38.086619407;0
11018250;168197548;5443I29951L5-;1;38.086619407;0
11018213;168197457;5443I29951L5-;1;31.722787335;0
11017429;168195966;5443I29951L5-;1;6.631749081;0
;;5443I29951L5-;1;18.365100603;1
11018223;168197481;5443I29951L6-;1;46.513497555;0
11018223;168197482;5443I29951L6-;1;46.513497555;0
11018216;168197463;5443I29951L6-;1;46.784929106;0
11018216;168197464;5443I29951L6-;1;46.784929106;0
11018213;168197458;5443I29951L6-;1;29.008512591;0
11018248;168197541;5443I29951L6-;1;13.938773898;0
11018248;168197542;5443I29951L6-;1;13.938773898;0
11018218;168197471;5443I29951L7-;1;39.778173471;0
11018217;168197469;5443I29951L7-;1;23.077166546;0
11018217;168197470;5443I29951L7-;1;23.077166546;0
11018218;168197472;5443I29951L7-;1;39.778173471;0
11018222;168197480;5443I29951L7-;1;29.368557305;0
