id_ordem;id_unico_peca;codigo_layout;qtd_cortada_no_layout;tempo_corte_segundos
ORD9004609;146221376;4432I193L1-;1;56.917808528
ORD9004609;146221377;4432I193L1-;1;56.917808528
ORD9003665;146219690;4432I193L1-;1;65.462067517
ORD9002574;146217793;4432I193L1-;1;29.196727708
ORD9006566;146224564;4432I193L1-;1;27.931887518
ORD9002574;146217792;4432I193L1-;1;29.196727708
ORD9005125;146222175;4432I193L1-;1;28.037290868
ORD9004148;146220521;4432I193L2-;1;168.556979453
ORD9004544;146221228;4432I193L3-;1;47.655424865
ORD9004544;146221229;4432I193L3-;1;47.655424865
ORD9002216;146217147;4432I193L3-;1;48.207805976
ORD9002216;146217148;4432I193L3-;1;48.207805976
ORD9005784;146223255;4432I193L3-;1;47.454559007
ORD9006723;146224888;4432I193L4-;1;35.796768223
ORD9006723;146224889;4432I193L4-;1;35.796768223
ORD9006722;146224886;4432I193L4-;1;35.796768223
ORD9006722;146224887;4432I193L4-;1;35.796768223
ORD9004571;146221307;4432I193L4-;1;35.796768223
ORD9005949;146223519;4432I193L4-;1;35.603272178
ORD9006712;146224872;4432I193L5-;1;52.826656332
ORD9006712;146224873;4432I193L5-;1;52.826656332
ORD9002493;146217663;4432I193L5-;1;52.483180023
ORD9004757;146221602;4432I193L5-;1;53.925780521
ORD9005950;146223520;4432I193L5-;1;54.26925683
ORD9002306;146217318;4432I193L6-;1;35.202293832
ORD9002305;146217316;4432I193L6-;1;35.202293832
ORD9002305;146217317;4432I193L6-;1;35.202293832
ORD9003152;146218703;4432I193L6-;1;34.196514009
ORD9003151;146218701;4432I193L6-;1;34.196514009
ORD9002298;146217303;4432I193L6-;1;34.548536947
ORD9002298;146217304;4432I193L6-;1;34.548536947
ORD9002602;146217849;4432I193L6-;1;34.950848876
ORD9003990;146220279;4432I193L7-;1;47.249591583
ORD9005316;146222452;4432I193L7-;1;47.249591583
ORD9005316;146222453;4432I193L7-;1;47.249591583
ORD9005614;146222965;4432I193L7-;1;47.529589162
ORD9003151;146218702;4432I193L7-;1;47.599588557
ORD9002945;146218423;4432I193L8-;1;44.355893096
ORD9003139;146218685;4432I193L8-;1;37.352331028
ORD9003139;146218686;4432I193L8-;1;37.352331028
ORD9005083;146222116;4432I193L8-;1;40.616736429
ORD9005083;146222117;4432I193L8-;1;40.616736429
ORD9002468;146217629;4432I193L8-;1;40.491182375
ORD9003244;146218858;4432I193L9-;1;11.355816981
ORD9003244;146218859;4432I193L9-;1;11.355816981
ORD9003243;146218842;4432I193L9-;1;11.355816981
ORD9003243;146218843;4432I193L9-;1;11.355816981
ORD9003243;146218844;4432I193L9-;1;11.355816981
ORD9003243;146218845;4432I193L9-;1;11.355816981
ORD9003243;146218846;4432I193L9-;1;11.355816981
ORD9003243;146218847;4432I193L9-;1;11.355816981
ORD9003243;146218848;4432I193L9-;1;11.355816981
ORD9003243;146218849;4432I193L9-;1;11.355816981
ORD9003243;146218850;4432I193L9-;1;11.355816981
ORD9003243;146218851;4432I193L9-;1;11.355816981
ORD9006201;146223928;4432I193L9-;1;9.913808475
ORD9006201;146223929;4432I193L9-;1;9.913808475
ORD9006201;146223930;4432I193L9-;1;9.913808475
ORD9006201;146223931;4432I193L9-;1;9.913808475
ORD9006201;146223932;4432I193L9-;1;9.913808475
ORD9006201;146223933;4432I193L9-;1;9.913808475
ORD9005313;146222441;4432I193L9-;1;2.113443716
ORD9005313;146222442;4432I193L9-;1;2.113443716
ORD9005313;146222443;4432I193L9-;1;2.113443716
ORD9005313;146222444;4432I193L9-;1;2.113443716
ORD9005313;146222445;4432I193L9-;1;2.113443716
ORD9005313;146222446;4432I193L9-;1;2.113443716
ORD9003244;146218852;4432I193L9-;1;11.355816981
ORD9003244;146218853;4432I193L9-;1;11.355816981
ORD9003244;146218854;4432I193L9-;1;11.355816981
ORD9003244;146218855;4432I193L9-;1;11.355816981
ORD9003244;146218856;4432I193L9-;1;11.355816981
ORD9003244;146218857;4432I193L9-;1;11.355816981
ORD9006178;146223848;4432I193L9-;1;0.878723933
ORD9006178;146223849;4432I193L9-;1;0.878723933
ORD9006178;146223850;4432I193L9-;1;0.878723933
ORD9006178;146223851;4432I193L9-;1;0.878723933
ORD9006178;146223852;4432I193L9-;1;0.878723933
ORD9006178;146223853;4432I193L9-;1;0.878723933
ORD9005277;146222385;4432I193L9-;1;11.599155916
ORD9005277;146222386;4432I193L9-;1;11.599155916
ORD9005277;146222387;4432I193L9-;1;11.599155916
ORD9005277;146222388;4432I193L9-;1;11.599155916
ORD9005277;146222389;4432I193L9-;1;11.599155916
ORD9005277;146222390;4432I193L9-;1;11.599155916
ORD9003927;146220187;4432I193L9-;1;0.675941487
ORD9003927;146220188;4432I193L9-;1;0.675941487
ORD9003926;146220183;4432I193L9-;1;0.675941487
ORD9003926;146220184;4432I193L9-;1;0.675941487
ORD9003926;146220185;4432I193L9-;1;0.675941487
ORD9003926;146220186;4432I193L9-;1;0.675941487
ORD9002601;146217847;4432I193L9-;1;12.302135062
ORD9002601;146217848;4432I193L9-;1;12.302135062
ORD9002600;146217846;4432I193L9-;1;12.302135062
ORD9002599;146217843;4432I193L9-;1;12.302135062
ORD9002599;146217844;4432I193L9-;1;12.302135062
ORD9002599;146217845;4432I193L9-;1;12.302135062
ORD9004148;146220522;4432I193L9-;1;12.307767908
ORD9004148;146220523;4432I193L9-;1;12.307767908
ORD9004148;146220524;4432I193L9-;1;12.307767908
ORD9005298;146222421;4432I193L9-;1;1.802510632
ORD9005298;146222422;4432I193L9-;1;1.802510632
ORD9005297;146222420;4432I193L9-;1;1.802510632
ORD9003666;146219691;4432I193L9-;1;9.711026029
ORD9003666;146219692;4432I193L9-;1;9.711026029
ORD9003666;146219693;4432I193L9-;1;9.711026029
ORD9004601;146221360;4432I193L9-;1;2.56857765
ORD9004601;146221361;4432I193L9-;1;2.56857765
ORD9004600;146221358;4432I193L9-;1;2.56857765
ORD9003221;146218804;4432I193L9-;1;10.292335708
ORD9003221;146218805;4432I193L9-;1;10.292335708
ORD9003221;146218806;4432I193L9-;1;10.292335708
ORD9002212;146217137;4432I193L9-;1;1.892636163
ORD9002212;146217138;4432I193L9-;1;1.892636163
ORD9002212;146217139;4432I193L9-;1;1.892636163
ORD9004769;146221614;4432I193L9-;1;10.747469642
ORD9004769;146221615;4432I193L9-;1;10.747469642
ORD9004769;146221616;4432I193L9-;1;10.747469642
ORD9004772;146221624;4432I193L9-;1;1.532134037
ORD9004771;146221620;4432I193L9-;1;1.532134037
ORD9004771;146221621;4432I193L9-;1;1.532134037
ORD9003919;146220133;4432I193L9-;1;11.265691449
ORD9003919;146220134;4432I193L9-;1;11.265691449
ORD9003918;146220132;4432I193L9-;1;11.265691449
ORD9003138;146218678;4432I193L9-;1;0.968849465
ORD9003138;146218679;4432I193L9-;1;0.968849465
ORD9003138;146218680;4432I193L9-;1;0.968849465
ORD9003298;146218955;4432I193L9-;1;10.152641134
ORD9003298;146218956;4432I193L9-;1;10.152641134
ORD9003298;146218957;4432I193L9-;1;10.152641134
ORD9006260;146224097;4432I193L9-;1;2.117949992
ORD9006260;146224098;4432I193L9-;1;2.117949992
ORD9006260;146224099;4432I193L9-;1;2.117949992
ORD9004583;146221325;4432I193L9-;1;11.851507405
ORD9004583;146221326;4432I193L9-;1;11.851507405
ORD9004583;146221327;4432I193L9-;1;11.851507405
ORD9004752;146221588;4432I193L9-;1;9.102678691
ORD9004752;146221589;4432I193L9-;1;9.102678691
ORD9004752;146221590;4432I193L9-;1;9.102678691
ORD9002784;146218144;4432I193L9-;1;2.838954245
ORD9002784;146218145;4432I193L9-;1;2.838954245
ORD9002784;146218146;4432I193L9-;1;2.838954245
ORD9004589;146221341;4432I193L9-;1;9.192804223
ORD9004588;146221339;4432I193L9-;1;9.192804223
ORD9004588;146221340;4432I193L9-;1;9.192804223
ORD9004784;146221644;4432I193L9-;1;3.019205308
ORD9004784;146221645;4432I193L9-;1;3.019205308
ORD9004784;146221646;4432I193L9-;1;3.019205308
ORD9003917;146220130;4432I193L10-;1;33.055617381
ORD9003917;146220131;4432I193L10-;1;33.055617381
ORD9003138;146218681;4432I193L10-;1;2.842783095
ORD9003138;146218682;4432I193L10-;1;2.842783095
ORD9004583;146221328;4432I193L10-;1;34.774509484
