id_ordem;id_unico_peca;codigo_layout;qtd_cortada_no_layout;tempo_corte_segundos
ORD9004609;146221376;RETRI193L1-;1;56.917808528
ORD9004609;146221377;RETRI193L1-;1;56.917808528
ORD9003665;146219690;RETRI193L1-;1;65.462067517
ORD9002574;146217793;RETRI193L1-;1;29.196727708
ORD9006566;146224564;RETRI193L1-;1;27.931887518
ORD9002574;146217792;RETRI193L1-;1;29.196727708
ORD9005125;146222175;RETRI193L1-;1;28.037290868
ORD9004148;146220521;RETRI193L2-;1;168.556979453
ORD9004544;146221228;RETRI193L3-;1;47.655424865
ORD9004544;146221229;RETRI193L3-;1;47.655424865
ORD9002216;146217147;RETRI193L3-;1;48.207805976
ORD9002216;146217148;RETRI193L3-;1;48.207805976
ORD9005784;146223255;RETRI193L3-;1;47.454559007
ORD9006723;146224888;RETRI193L4-;1;35.796768223
ORD9006723;146224889;RETRI193L4-;1;35.796768223
ORD9006722;146224886;RETRI193L4-;1;35.796768223
ORD9006722;146224887;RETRI193L4-;1;35.796768223
ORD9004571;146221307;RETRI193L4-;1;35.796768223
ORD9005949;146223519;RETRI193L4-;1;35.603272178
ORD9006712;146224872;RETRI193L5-;1;52.826656332
ORD9006712;146224873;RETRI193L5-;1;52.826656332
ORD9002493;146217663;RETRI193L5-;1;52.483180023
ORD9004757;146221602;RETRI193L5-;1;53.925780521
ORD9005950;146223520;RETRI193L5-;1;54.26925683
ORD9002306;146217318;RETRI193L6-;1;35.202293832
ORD9002305;146217316;RETRI193L6-;1;35.202293832
ORD9002305;146217317;RETRI193L6-;1;35.202293832
ORD9003152;146218703;RETRI193L6-;1;34.196514009
ORD9003151;146218701;RETRI193L6-;1;34.196514009
ORD9002298;146217303;RETRI193L6-;1;34.548536947
ORD9002298;146217304;RETRI193L6-;1;34.548536947
ORD9002602;146217849;RETRI193L6-;1;34.950848876
ORD9003990;146220279;RETRI193L7-;1;47.249591583
ORD9005316;146222452;RETRI193L7-;1;47.249591583
ORD9005316;146222453;RETRI193L7-;1;47.249591583
ORD9005614;146222965;RETRI193L7-;1;47.529589162
ORD9003151;146218702;RETRI193L7-;1;47.599588557
ORD9002945;146218423;RETRI193L8-;1;44.355893096
ORD9003139;146218685;RETRI193L8-;1;37.352331028
ORD9003139;146218686;RETRI193L8-;1;37.352331028
ORD9005083;146222116;RETRI193L8-;1;40.616736429
ORD9005083;146222117;RETRI193L8-;1;40.616736429
ORD9002468;146217629;RETRI193L8-;1;40.491182375
ORD9003244;146218858;RETRI193L9-;1;11.355816981
ORD9003244;146218859;RETRI193L9-;1;11.355816981
ORD9003243;146218842;RETRI193L9-;1;11.355816981
ORD9003243;146218843;RETRI193L9-;1;11.355816981
ORD9003243;146218844;RETRI193L9-;1;11.355816981
ORD9003243;146218845;RETRI193L9-;1;11.355816981
ORD9003243;146218846;RETRI193L9-;1;11.355816981
ORD9003243;146218847;RETRI193L9-;1;11.355816981
ORD9003243;146218848;RETRI193L9-;1;11.355816981
ORD9003243;146218849;RETRI193L9-;1;11.355816981
ORD9003243;146218850;RETRI193L9-;1;11.355816981
ORD9003243;146218851;RETRI193L9-;1;11.355816981
ORD9006201;146223928;RETRI193L9-;1;9.913808475
ORD9006201;146223929;RETRI193L9-;1;9.913808475
ORD9006201;146223930;RETRI193L9-;1;9.913808475
ORD9006201;146223931;RETRI193L9-;1;9.913808475
ORD9006201;146223932;RETRI193L9-;1;9.913808475
ORD9006201;146223933;RETRI193L9-;1;9.913808475
ORD9005313;146222441;RETRI193L9-;1;2.113443716
ORD9005313;146222442;RETRI193L9-;1;2.113443716
ORD9005313;146222443;RETRI193L9-;1;2.113443716
ORD9005313;146222444;RETRI193L9-;1;2.113443716
ORD9005313;146222445;RETRI193L9-;1;2.113443716
ORD9005313;146222446;RETRI193L9-;1;2.113443716
ORD9003244;146218852;RETRI193L9-;1;11.355816981
ORD9003244;146218853;RETRI193L9-;1;11.355816981
ORD9003244;146218854;RETRI193L9-;1;11.355816981
ORD9003244;146218855;RETRI193L9-;1;11.355816981
ORD9003244;146218856;RETRI193L9-;1;11.355816981
ORD9003244;146218857;RETRI193L9-;1;11.355816981
ORD9006178;146223848;RETRI193L9-;1;0.878723933
ORD9006178;146223849;RETRI193L9-;1;0.878723933
ORD9006178;146223850;RETRI193L9-;1;0.878723933
ORD9006178;146223851;RETRI193L9-;1;0.878723933
ORD9006178;146223852;RETRI193L9-;1;0.878723933
ORD9006178;146223853;RETRI193L9-;1;0.878723933
ORD9005277;146222385;RETRI193L9-;1;11.599155916
ORD9005277;146222386;RETRI193L9-;1;11.599155916
ORD9005277;146222387;RETRI193L9-;1;11.599155916
ORD9005277;146222388;RETRI193L9-;1;11.599155916
ORD9005277;146222389;RETRI193L9-;1;11.599155916
ORD9005277;146222390;RETRI193L9-;1;11.599155916
ORD9003927;146220187;RETRI193L9-;1;0.675941487
ORD9003927;146220188;RETRI193L9-;1;0.675941487
ORD9003926;146220183;RETRI193L9-;1;0.675941487
ORD9003926;146220184;RETRI193L9-;1;0.675941487
ORD9003926;146220185;RETRI193L9-;1;0.675941487
ORD9003926;146220186;RETRI193L9-;1;0.675941487
ORD9002601;146217847;RETRI193L9-;1;12.302135062
ORD9002601;146217848;RETRI193L9-;1;12.302135062
ORD9002600;146217846;RETRI193L9-;1;12.302135062
ORD9002599;146217843;RETRI193L9-;1;12.302135062
ORD9002599;146217844;RETRI193L9-;1;12.302135062
ORD9002599;146217845;RETRI193L9-;1;12.302135062
ORD9004148;146220522;RETRI193L9-;1;12.307767908
ORD9004148;146220523;RETRI193L9-;1;12.307767908
ORD9004148;146220524;RETRI193L9-;1;12.307767908
ORD9005298;146222421;RETRI193L9-;1;1.802510632
ORD9005298;146222422;RETRI193L9-;1;1.802510632
ORD9005297;146222420;RETRI193L9-;1;1.802510632
ORD9003666;146219691;RETRI193L9-;1;9.711026029
ORD9003666;146219692;RETRI193L9-;1;9.711026029
ORD9003666;146219693;RETRI193L9-;1;9.711026029
ORD9004601;146221360;RETRI193L9-;1;2.56857765
ORD9004601;146221361;RETRI193L9-;1;2.56857765
ORD9004600;146221358;RETRI193L9-;1;2.56857765
ORD9003221;146218804;RETRI193L9-;1;10.292335708
ORD9003221;146218805;RETRI193L9-;1;10.292335708
ORD9003221;146218806;RETRI193L9-;1;10.292335708
