codigo_layout;qtd_chapas;perc_aproveitamento;perc_sobras;tempo_estimado_seg;descricao_material;id_recurso;mm_comprimento;mm_largura;mm_comp_linear;nome_projeto;codigo_lote;tipo
5443I29842L1-;5;95.212579853;0;695.789;CHAPA MDP BP 2F 15 MM BRAN;4;2750;1850;26789;5443_SEC_MDP_BRAN_15MM_GP01;5443;chapa
5443I29842L2-;5;94.211203931;0;615.713;CHAPA MDP BP 2F 15 MM BRAN;4;2750;1850;23887;5443_SEC_MDP_BRAN_15MM_GP01;5443;chapa
5443I29842L3-;5;92.994201474;0;507.35;CHAPA MDP BP 2F 15 MM BRAN;4;2750;1850;23338;5443_SEC_MDP_BRAN_15MM_GP01;5443;chapa
5443I29842L4-;5;92.239331695;0;491.43;CHAPA MDP BP 2F 15 MM BRAN;4;2750;1850;20330;5443_SEC_MDP_BRAN_15MM_GP01;5443;chapa
5443I29842L5-;5;91.650987715;0;491.43;CHAPA MDP BP 2F 15 MM BRAN;4;2750;1850;24934;5443_SEC_MDP_BRAN_15MM_GP01;5443;chapa
5443I29842L6-;5;92.892383292;0;491.435;CHAPA MDP BP 2F 15 MM BRAN;4;2750;1850;21373;5443_SEC_MDP_BRAN_15MM_GP01;5443;chapa
5443I29842L7-;5;93.443144963;0;464.72;CHAPA MDP BP 2F 15 MM BRAN;4;2750;1850;22380;5443_SEC_MDP_BRAN_15MM_GP01;5443;chapa
5443I29842L8-;5;92.746437346;0;538.055;CHAPA MDP BP 2F 15 MM BRAN;4;2750;1850;23455;5443_SEC_MDP_BRAN_15MM_GP01;5443;chapa
5443I29842L9-;5;93.435773956;0;630.449;CHAPA MDP BP 2F 15 MM BRAN;4;2750;1850;24865;5443_SEC_MDP_BRAN_15MM_GP01;5443;chapa
5443I29842L10-;5;95.109090909;0;663.057;CHAPA MDP BP 2F 15 MM BRAN;4;2750;1850;30147;5443_SEC_MDP_BRAN_15MM_GP01;5443;chapa
5443I29842L11-;5;94.025061425;0;556.741;CHAPA MDP BP 2F 15 MM BRAN;4;2750;1850;25151;5443_SEC_MDP_BRAN_15MM_GP01;5443;chapa
5443I29842L12-;5;94.905159705;0;554.334;CHAPA MDP BP 2F 15 MM BRAN;4;2750;1850;22934;5443_SEC_MDP_BRAN_15MM_GP01;5443;chapa
5443I29842L13-;5;95.15846683;0;782.068;CHAPA MDP BP 2F 15 MM BRAN;4;2750;1850;27588;5443_SEC_MDP_BRAN_15MM_GP01;5443;chapa
5443I29842L14-;5;94.806191646;0;605.732;CHAPA MDP BP 2F 15 MM BRAN;4;2750;1850;28516;5443_SEC_MDP_BRAN_15MM_GP01;5443;chapa
5443I29842L15-;5;95.949090909;0;557.691;CHAPA MDP BP 2F 15 MM BRAN;4;2750;1850;23971;5443_SEC_MDP_BRAN_15MM_GP01;5443;chapa
5443I29842L16-;5;94.146928747;0;977.97;CHAPA MDP BP 2F 15 MM BRAN;4;2750;1850;39984;5443_SEC_MDP_BRAN_15MM_GP01;5443;chapa
5443I29842L17-;5;94.219459459;0;938.831;CHAPA MDP BP 2F 15 MM BRAN;4;2750;1850;33831;5443_SEC_MDP_BRAN_15MM_GP01;5443;chapa
5443I29842L18-;5;92.426476658;0;479.245;CHAPA MDP BP 2F 15 MM BRAN;4;2750;1850;33951;5443_SEC_MDP_BRAN_15MM_GP01;5443;chapa
5443I29842L19-;5;94.738673219;0;646.175;CHAPA MDP BP 2F 15 MM BRAN;4;2750;1850;24385;5443_SEC_MDP_BRAN_15MM_GP01;5443;chapa
5443I29842L20-;5;96.324324324;0;615.035;CHAPA MDP BP 2F 15 MM BRAN;4;2750;1850;23035;5443_SEC_MDP_BRAN_15MM_GP01;5443;chapa
5443I29842L21-;5;96.324324324;0;615.035;CHAPA MDP BP 2F 15 MM BRAN;4;2750;1850;23035;5443_SEC_MDP_BRAN_15MM_GP01;5443;chapa
5443I29842L22-;5;92.727862408;0;726.61;CHAPA MDP BP 2F 15 MM BRAN;4;2750;1850;33048;5443_SEC_MDP_BRAN_15MM_GP01;5443;chapa
5443I29842L23-;5;91.195675676;0;1400.494;CHAPA MDP BP 2F 15 MM BRAN;4;2750;1850;44224;5443_SEC_MDP_BRAN_15MM_GP01;5443;chapa
5443I29842L24-;3;94.403125307;0;639.729;CHAPA MDP BP 2F 15 MM BRAN;4;2750;1850;30362;5443_SEC_MDP_BRAN_15MM_GP01;5443;chapa
5443I29842L25-;2;94.370201474;0;492;CHAPA MDP BP 2F 15 MM BRAN;4;2750;1850;21408;5443_SEC_MDP_BRAN_15MM_GP01;5443;chapa
5443I29842L26-;4;94.265159705;0;615.125;CHAPA MDP BP 2F 15 MM BRAN;4;2750;1850;23845;5443_SEC_MDP_BRAN_15MM_GP01;5443;chapa
5443I29842L27-;2;93.09397543;0;678.682;CHAPA MDP BP 2F 15 MM BRAN;4;2750;1850;30452;5443_SEC_MDP_BRAN_15MM_GP01;5443;chapa
5443I29842L28-;2;93.668167076;0;677.173;CHAPA MDP BP 2F 15 MM BRAN;4;2750;1850;31126;5443_SEC_MDP_BRAN_15MM_GP01;5443;chapa
5443I29842L29-;2;91.96790172;0;754.728;CHAPA MDP BP 2F 15 MM BRAN;4;2750;1850;39133;5443_SEC_MDP_BRAN_15MM_GP01;5443;chapa
5443I29842L30-;2;93.756835381;0;422.824;CHAPA MDP BP 2F 15 MM BRAN;4;2750;1850;26986;5443_SEC_MDP_BRAN_15MM_GP01;5443;chapa
5443I29842L31-;2;93.886879607;0;606.621;CHAPA MDP BP 2F 15 MM BRAN;4;2750;1850;35491;5443_SEC_MDP_BRAN_15MM_GP01;5443;chapa
5443I29842L32-;2;94.328746929;0;692.452;CHAPA MDP BP 2F 15 MM BRAN;4;2750;1850;30363;5443_SEC_MDP_BRAN_15MM_GP01;5443;chapa
5443I29842L33-;2;88.646800983;0;845.283;CHAPA MDP BP 2F 15 MM BRAN;4;2750;1850;37991;5443_SEC_MDP_BRAN_15MM_GP01;5443;chapa
5443I29842L34-;2;81.616963145;0;677.566;CHAPA MDP BP 2F 15 MM BRAN;4;2750;1850;38590;5443_SEC_MDP_BRAN_15MM_GP01;5443;chapa
5443I29842L35-;1;93.582859951;0;492.51;CHAPA MDP BP 2F 15 MM BRAN;4;2750;1850;21896;5443_SEC_MDP_BRAN_15MM_GP01;5443;chapa
5443I29842L36-;1;91.660029484;0;526.562;CHAPA MDP BP 2F 15 MM BRAN;4;2750;1850;29978;5443_SEC_MDP_BRAN_15MM_GP01;5443;chapa
5443I29842L37-;1;92.777769042;0;720.174;CHAPA MDP BP 2F 15 MM BRAN;4;2750;1850;34866;5443_SEC_MDP_BRAN_15MM_GP01;5443;chapa
5443I29842L38-;1;88.504864865;0;855.407;CHAPA MDP BP 2F 15 MM BRAN;4;2750;1850;41951;5443_SEC_MDP_BRAN_15MM_GP01;5443;chapa
5443I29842L39-;1;89.688019656;0;675.795;CHAPA MDP BP 2F 15 MM BRAN;4;2750;1850;36567;5443_SEC_MDP_BRAN_15MM_GP01;5443;chapa
5443I29842L40-;1;80.546614251;7.400526781;568.833;CHAPA MDP BP 2F 15 MM BRAN;4;2750;1850;31712;5443_SEC_MDP_BRAN_15MM_GP01;5443;chapa
5443I29842L41-;1;79.728766585;0;631.205;CHAPA MDP BP 2F 15 MM BRAN;4;2750;1850;32701;5443_SEC_MDP_BRAN_15MM_GP01;5443;chapa
5443I29842L42-;1;61.537100737;34.075675676;449.45;CHAPA MDP BP 2F 15 MM BRAN;4;2750;1850;22202;5443_SEC_MDP_BRAN_15MM_GP01;5443;chapa
