codigo_layout;qtd_chapas;perc_aproveitamento;perc_sobras;tempo_estimado_seg;descricao_material;id_recurso;mm_comprimento;mm_largura;mm_comp_linear;nome_projeto;sobra
4432I193L1-;1;82.534715793;0;293.660318375;CHAPA MDP BP 2F 15 MM BRAN;2;2750;491;17490;4432_SEC_MDP_BRAN_15_2_test_niziolek;S
4432I193L2-;1;46.455755411;0;168.556979453;CHAPA MDP BP 2F 15 MM BRAN;2;2412;195;5014;4432_SEC_MDP_BRAN_15_2_test_niziolek;S
4432I193L3-;1;75.003444678;0;239.181020689;CHAPA MDP BP 2F 15 MM BRAN;2;1010;503;6860;4432_SEC_MDP_BRAN_15_2_test_niziolek;S
4432I193L4-;1;81.067251462;0;214.587113292;CHAPA MDP BP 2F 15 MM BRAN;2;960;570;7520;4432_SEC_MDP_BRAN_15_2_test_niziolek;S
4432I193L5-;1;75.648780488;0;266.331530039;CHAPA MDP BP 2F 15 MM BRAN;2;820;500;5720;4432_SEC_MDP_BRAN_15_2_test_niziolek;S
4432I193L6-;1;85.340536369;0;278.047832284;CHAPA MDP BP 2F 15 MM BRAN;2;730;710;7850;4432_SEC_MDP_BRAN_15_2_test_niziolek;S
4432I193L7-;1;74.763877382;0;236.877952467;CHAPA MDP BP 2F 15 MM BRAN;2;710;510;5060;4432_SEC_MDP_BRAN_15_2_test_niziolek;S
4432I193L8-;1;79.398902862;0;240.785210386;CHAPA MDP BP 2F 15 MM BRAN;2;678;570;5416;4432_SEC_MDP_BRAN_15_2_test_niziolek;S
4432I193L9-;3;88.796855037;0;763.398176238;CHAPA MDP BP 2F 15 MM BRAN;2;2750;1850;65825;4432_SEC_MDP_BRAN_15_2_test_niziolek;N
4432I193L10-;1;89.293366093;0;750.825293185;CHAPA MDP BP 2F 15 MM BRAN;2;2750;1850;65220;4432_SEC_MDP_BRAN_15_2_test_niziolek;N
4432I193L11-;1;88.813366093;0;728.45958037;CHAPA MDP BP 2F 15 MM BRAN;2;2750;1850;65560;4432_SEC_MDP_BRAN_15_2_test_niziolek;N
4432I193L12-;1;88.780737101;0;722.21617396;CHAPA MDP BP 2F 15 MM BRAN;2;2750;1850;65540;4432_SEC_MDP_BRAN_15_2_test_niziolek;N
4432I193L13-;1;88.547223587;0;1029.538409636;CHAPA MDP BP 2F 15 MM BRAN;2;2750;1850;67830;4432_SEC_MDP_BRAN_15_2_test_niziolek;N
4432I193L14-;1;88.362063882;0;1394.329748413;CHAPA MDP BP 2F 15 MM BRAN;2;2750;1850;74158;4432_SEC_MDP_BRAN_15_2_test_niziolek;N
4432I193L15-;1;45.893857494;45.157629484;822.980645329;CHAPA MDP BP 2F 15 MM BRAN;2;2750;1850;57334;4432_SEC_MDP_BRAN_15_2_test_niziolek;N
4432I193L16-;1;89.591744472;0;675.600217579;CHAPA MDP BP 2F 15 MM BRAN;2;2750;1850;75470;4432_SEC_MDP_BRAN_15_2_test_niziolek;N
4432I193L17-;1;88.019066339;0;983.141445327;CHAPA MDP BP 2F 15 MM BRAN;2;2750;1850;76240;4432_SEC_MDP_BRAN_15_2_test_niziolek;N
4432I193L18-;1;89.394987715;0;891.276900462;CHAPA MDP BP 2F 15 MM BRAN;2;2750;1850;77150;4432_SEC_MDP_BRAN_15_2_test_niziolek;N
4432I193L19-;1;88.712530713;0;801.932649335;CHAPA MDP BP 2F 15 MM BRAN;2;2750;1850;69387;4432_SEC_MDP_BRAN_15_2_test_niziolek;N
4432I193L20-;1;87.719115479;0;975.550341891;CHAPA MDP BP 2F 15 MM BRAN;2;2750;1850;77640;4432_SEC_MDP_BRAN_15_2_test_niziolek;N
4432I193L21-;1;90.043046683;0;1153.057462213;CHAPA MDP BP 2F 15 MM BRAN;2;2750;1850;80160;4432_SEC_MDP_BRAN_15_2_test_niziolek;N
4432I193L22-;1;86.153120393;0;1293.207710489;CHAPA MDP BP 2F 15 MM BRAN;2;2750;1850;78550;4432_SEC_MDP_BRAN_15_2_test_niziolek;N
4432I193L23-;1;85.364520885;0;561.157361303;CHAPA MDP BP 2F 15 MM BRAN;2;2750;1850;70880;4432_SEC_MDP_BRAN_15_2_test_niziolek;N
4432I193L24-;1;83.908992629;0;783.751582673;CHAPA MDP BP 2F 15 MM BRAN;2;2750;1850;61116;4432_SEC_MDP_BRAN_15_2_test_niziolek;N
