codigo_layout;descricao_material;id_recurso;mm_comp_linear;mm_comprimento;mm_largura;nome_projeto;perc_aproveitamento;perc_sobras;tipo;codigo_lote;qtd_chapas;tempo_estimado_seg;qtd_separacao_manual;qtd_separacao_automatica
0828000011001;15.30 BP AZUL SECRETO;2;18293;2750;1840;Plano828_CNC2;79.940380435;4.515607708;chapa;828;1;0;1;0
0828000011002;15.30 BP AZUL SECRETO;2;20355.75;2750;1840;Plano828_CNC2;75.060956028;9.785098814;chapa;828;1;0;1;0
0828000011003;15.30 BP BEIGE;2;25167;2750;1840;Plano828_CNC2;88.606956522;0;chapa;828;1;0;1;0
0828000011004;15.30 BP BEIGE;2;21007;2750;1840;Plano828_CNC2;86.313438735;3.040355731;chapa;828;1;0;1;0
0828000011005;15.30 BP BEIGE;2;30488.75;2750;1840;Plano828_CNC2;84.896501976;0;chapa;828;1;0;1;0
0828000011006;15.30 BP BEIGE;2;12877;2750;1840;Plano828_CNC2;37.042411067;58.804347826;chapa;828;1;0;1;0
0828000011007;15.30 BP BETON;2;11730;2750;1840;Plano828_CNC2;88.891304348;0;chapa;828;1;0;1;0
0828000011008;15.30 BP BETON;2;24465;2750;1840;Plano828_CNC2;88.619426877;0;chapa;828;1;0;1;0
0828000011009;15.30 BP BETON;2;26353;2750;1840;Plano828_CNC2;86.05215415;0;chapa;828;1;0;1;0
0828000011010;15.30 BP BETON;2;5840;2750;1840;Plano828_CNC2;1.548814229;89.02173913;chapa;828;1;0;1;0
0828000011011;15.30 BP BRANCO 2F;2;18174;2750;1840;Plano828_CNC2;94.130454545;0;chapa;828;1;0;1;0
0828000011012;15.30 BP BRANCO 2F;2;17192;2750;1840;Plano828_CNC2;93.934980237;0;chapa;828;1;0;1;0
0828000011013;15.30 BP BRANCO 2F;2;18498;2750;1840;Plano828_CNC2;93.728142292;0;chapa;828;1;0;1;0
0828000011014;15.30 BP BRANCO 2F;2;18860.9;2750;1840;Plano828_CNC2;93.189156126;0;chapa;828;1;0;1;0
0828000011015;15.30 BP BRANCO 2F;2;20098.15;2750;1840;Plano828_CNC2;92.755018775;0;chapa;828;1;0;1;0
0828000011016;15.30 BP BRANCO 2F;2;14500;2750;1840;Plano828_CNC2;92.193675889;0;chapa;828;1;0;1;0
0828000011017;15.30 BP BRANCO 2F;2;22696.5;2750;1840;Plano828_CNC2;92.047371542;0;chapa;828;1;0;1;0
0828000011018;15.30 BP BRANCO 2F;2;22548;2750;1840;Plano828_CNC2;92.030790514;0;chapa;828;1;0;1;0
0828000011019;15.30 BP BRANCO 2F;2;19198.5;2750;1840;Plano828_CNC2;91.991615613;0;chapa;828;1;0;1;0
0828000011020;15.30 BP BRANCO 2F;2;22304;2750;1840;Plano828_CNC2;91.968715415;0;chapa;828;1;0;1;0
0828000011021;15.30 BP BRANCO 2F;2;20564.63;2750;1840;Plano828_CNC2;91.663152174;0;chapa;828;1;0;1;0
0828000011022;15.30 BP BRANCO 2F;2;25506.5;2750;1840;Plano828_CNC2;91.65951581;0;chapa;828;1;0;1;0
0828000011023;15.30 BP BRANCO 2F;2;26629.34;2750;1840;Plano828_CNC2;91.643765217;0;chapa;828;1;0;1;0
0828000011024;15.30 BP BRANCO 2F;2;27392.39;2750;1840;Plano828_CNC2;91.549608893;0;chapa;828;1;0;1;0
0828000011025;15.30 BP BRANCO 2F;2;22118.5;2750;1840;Plano828_CNC2;91.529021739;0;chapa;828;1;0;1;0
0828000011026;15.30 BP BRANCO 2F;2;24345;2750;1840;Plano828_CNC2;91.493300395;0;chapa;828;1;0;1;0
0828000011027;15.30 BP BRANCO 2F;2;24141.5;2750;1840;Plano828_CNC2;91.444788933;0;chapa;828;1;0;1;0
0828000011028;15.30 BP BRANCO 2F;2;23360.14;2750;1840;Plano828_CNC2;91.285912055;0;chapa;828;1;0;1;0
0828000011029;15.30 BP BRANCO 2F;2;26703.45;2750;1840;Plano828_CNC2;91.240503162;0;chapa;828;1;0;1;0
0828000011030;15.30 BP BRANCO 2F;2;24670.58;2750;1840;Plano828_CNC2;91.238955138;0;chapa;828;1;0;1;0
0828000011031;15.30 BP BRANCO 2F;2;27484;2750;1840;Plano828_CNC2;91.12243083;0;chapa;828;1;0;1;0
0828000011032;15.30 BP BRANCO 2F;2;25726.7;2750;1840;Plano828_CNC2;91.036250055;0;chapa;828;1;0;1;0
0828000011033;15.30 BP BRANCO 2F;2;25421;2750;1840;Plano828_CNC2;91.028653755;0;chapa;828;1;0;1;0
0828000011034;15.30 BP BRANCO 2F;2;25797.5;2750;1840;Plano828_CNC2;91.009452372;0;chapa;828;1;0;1;0
0828000011035;15.30 BP BRANCO 2F;2;23648;2750;1840;Plano828_CNC2;90.955574605;0;chapa;828;1;0;1;0
0828000011036;15.30 BP BRANCO 2F;2;26080.52;2750;1840;Plano828_CNC2;90.924723375;0;chapa;828;1;0;1;0
0828000011037;15.30 BP BRANCO 2F;2;26026.84;2750;1840;Plano828_CNC2;90.915090909;0;chapa;828;1;0;1;0
0828000011038;15.30 BP BRANCO 2F;2;24906.75;2750;1840;Plano828_CNC2;90.68030336;0;chapa;828;1;0;1;0
0828000011039;15.30 BP BRANCO 2F;2;26753.5;2750;1840;Plano828_CNC2;90.603898617;0;chapa;828;1;0;1;0
0828000011040;15.30 BP BRANCO 2F;2;26607.5;2750;1840;Plano828_CNC2;90.301907115;0;chapa;828;1;0;1;0
0828000011041;15.30 BP BRANCO 2F;2;23270.14;2750;1840;Plano828_CNC2;90.281979051;0;chapa;828;1;0;1;0
0828000011042;15.30 BP BRANCO 2F;2;23801.5;2750;1840;Plano828_CNC2;90.079693676;0;chapa;828;1;0;1;0
0828000011043;15.30 BP BRANCO 2F;2;27508.8;2750;1840;Plano828_CNC2;90.07226087;0;chapa;828;1;0;1;0
0828000011044;15.30 BP BRANCO 2F;2;25703.5;2750;1840;Plano828_CNC2;89.606756324;0;chapa;828;1;0;1;0
0828000011045;15.30 BP BRANCO 2F;2;29392.95;2750;1840;Plano828_CNC2;89.557025791;0;chapa;828;1;0;1;0
0828000011046;15.30 BP BRANCO 2F;2;24453.28;2750;1840;Plano828_CNC2;89.283794763;0;chapa;828;1;0;1;0
0828000011047;15.30 BP BRANCO 2F;2;25342;2750;1840;Plano828_CNC2;88.531049802;0;chapa;828;1;0;1;0
0828000011048;15.30 BP BRANCO 2F;2;27715.2;2750;1840;Plano828_CNC2;88.272049506;0;chapa;828;1;0;1;0
0828000011049;15.30 BP BRANCO 2F;2;25433;2750;1840;Plano828_CNC2;88.199901186;0;chapa;828;1;0;1;0
0828000011050;15.30 BP BRANCO 2F;2;31786.75;2750;1840;Plano828_CNC2;86.86938498;0;chapa;828;1;0;1;0
0828000011051;15.30 BP BRANCO 2F;2;28634.34;2750;1840;Plano828_CNC2;85.997857708;0;chapa;828;1;0;1;0
0828000011052;15.30 BP BRANCO 2F;2;34510.9;2750;1840;Plano828_CNC2;76.435118577;0;chapa;828;1;0;1;0
0828000011053;15.30 BP BRANCO 2F;2;6091;2750;1840;Plano828_CNC2;3.830988142;82.201086957;chapa;828;1;0;1;0
0828000011054;15.30 BP C. HANOVER;2;6900;2750;1840;Plano828_CNC2;27.66798419;70.150197628;chapa;828;1;0;1;0
0828000011055;15.30 BP CERRADO BOLD;2;20920;2750;1840;Plano828_CNC2;81.914575099;0;chapa;828;1;0;1;0
