id_ordem;id_unico_peca;codigo_layout;qtd_cortada_no_layout;tempo_corte_segundos;id_retrabalho;recorte
1107936;1107936;0828000011001;1;0;;false
1107940;1107940;0828000011001;1;0;;false
1107941;1107941;0828000011001;1;0;;false
1107942;1107942;0828000011001;1;0;;false
1107943;1107943;0828000011001;1;0;;false
1107946;1107946;0828000011001;1;0;;false
1107939;1107939;0828000011002;1;0;;false
1107944;1107944;0828000011002;1;0;;false
1107945;1107945;0828000011002;1;0;;false
1107947;1107947;0828000011002;1;0;;false
1107948;1107948;0828000011002;1;0;;false
1108256;1108256;0828000011003;1;0;;false
1108259;1108259;0828000011003;1;0;;false
1109433;1109433;0828000011003;1;0;;false
1109434;1109434;0828000011003;1;0;;false
1109438;1109438;0828000011003;1;0;;false
1109441;1109441;0828000011003;1;0;;false
1109449;1109449;0828000011003;1;0;;false
1109450;1109450;0828000011003;1;0;;false
1109451;1109451;0828000011003;1;0;;false
1108258;1108258;0828000011004;1;0;;false
1108261;1108261;0828000011004;1;0;;false
1108270;1108270;0828000011004;1;0;;false
1108271;1108271;0828000011004;1;0;;false
1108467;1108467;0828000011004;1;0;;false
1109435;1109435;0828000011004;1;0;;false
1109436;1109436;0828000011004;1;0;;false
1109452;1109452;0828000011004;1;0;;false
1108262;1108262;0828000011005;1;0;;false
1108264;1108264;0828000011005;1;0;;false
1108456;1108456;0828000011005;1;0;;false
1108458;1108458;0828000011005;1;0;;false
1108459;1108459;0828000011005;1;0;;false
1108461;1108461;0828000011005;1;0;;false
1108462;1108462;0828000011005;1;0;;false
1108463;1108463;0828000011005;1;0;;false
1108466;1108466;0828000011005;1;0;;false
1108468;1108468;0828000011005;1;0;;false
1108469;1108469;0828000011005;1;0;;false
1108470;1108470;0828000011005;1;0;;false
1109442;1109442;0828000011005;1;0;;false
1109444;1109444;0828000011005;1;0;;false
1109448;1109448;0828000011005;1;0;;false
1108263;1108263;0828000011006;1;0;;false
1108265;1108265;0828000011006;1;0;;false
1108266;1108266;0828000011006;1;0;;false
1108268;1108268;0828000011006;1;0;;false
1108269;1108269;0828000011006;1;0;;false
1108464;1108464;0828000011006;1;0;;false
1108465;1108465;0828000011006;1;0;;false
1109645;1109645;0828000011007;1;0;;false
1108528;1108528;0828000011008;1;0;;false
1108533;1108533;0828000011008;1;0;;false
1108539;1108539;0828000011008;1;0;;false
1108540;1108540;0828000011008;1;0;;false
1108541;1108541;0828000011008;1;0;;false
1108543;1108543;0828000011008;1;0;;false
1108544;1108544;0828000011008;1;0;;false
1108545;1108545;0828000011008;1;0;;false
1108546;1108546;0828000011008;1;0;;false
1109765;1109765;0828000011008;1;0;;false
1109766;1109766;0828000011008;1;0;;false
1109771;1109771;0828000011008;1;0;;false
1109774;1109774;0828000011008;1;0;;false
1109775;1109775;0828000011008;1;0;;false
1108527;1108527;0828000011009;1;0;;false
1108529;1108529;0828000011009;1;0;;false
1108530;1108530;0828000011009;1;0;;false
1108534;1108534;0828000011009;1;0;;false
1108535;1108535;0828000011009;1;0;;false
1108536;1108536;0828000011009;1;0;;false
1108537;1108537;0828000011009;1;0;;false
1108538;1108538;0828000011009;1;0;;false
1108542;1108542;0828000011009;1;0;;false
1109647;1109647;0828000011009;1;0;;false
1109767;1109767;0828000011009;1;0;;false
1109768;1109768;0828000011009;1;0;;false
1109770;1109770;0828000011009;1;0;;false
1109772;1109772;0828000011009;1;0;;false
1109773;1109773;0828000011009;1;0;;false
1108531;1108531;0828000011010;1;0;;false
1108313;1108313;0828000011011;1;0;;false
1108314;1108314;0828000011011;1;0;;false
1109129;1109129;0828000011011;1;0;;false
1109138;1109138;0828000011011;1;0;;false
1109507;1109507;0828000011011;1;0;;false
1109535;1109535;0828000011011;1;0;;false
1109573;1109573;0828000011011;1;0;;false
1108279;1108279;0828000011012;1;0;;false
1108280;1108280;0828000011012;1;0;;false
1108312;1108312;0828000011012;1;0;;false
1108679;1108679;0828000011012;1;0;;false
1109506;1109506;0828000011012;1;0;;false
1109571;1109571;0828000011012;1;0;;false
1109572;1109572;0828000011012;1;0;;false
1108170;1108170;0828000011013;1;0;;false
1108176;1108176;0828000011013;1;0;;false
1108281;1108281;0828000011013;1;0;;false
1109333;1109333;0828000011013;1;0;;false
1109334;1109334;0828000011013;1;0;;false
1109500;1109500;0828000011013;1;0;;false
1109666;1109666;0828000011013;1;0;;false
1108122;1108122;0828000011014;1;0;;false
1108504;1108504;0828000011014;1;0;;false
1108510;1108510;0828000011014;1;0;;false
1108593;1108593;0828000011014;1;0;;false
1108601;1108601;0828000011014;1;0;;false
1109262;1109262;0828000011014;1;0;;false
1109263;1109263;0828000011014;1;0;;false
1109265;1109265;0828000011014;1;0;;false
1108505;1108505;0828000011015;1;0;;false
1108719;1108719;0828000011015;1;0;;false
1108720;1108720;0828000011015;1;0;;false
1108741;1108741;0828000011015;1;0;;false
1108742;1108742;0828000011015;1;0;;false
1108932;1108932;0828000011015;1;0;;false
1108935;1108935;0828000011015;1;0;;false
1108938;1108938;0828000011015;1;0;;false
1108941;1108941;0828000011015;1;0;;false
1109653;1109653;0828000011015;1;0;;false
1109264;1109264;0828000011016;1;0;;false
1109533;1109533;0828000011016;1;0;;false
1109534;1109534;0828000011016;1;0;;false
1107921;1107921;0828000011017;1;0;;false
1107922;1107922;0828000011017;1;0;;false
1107923;1107923;0828000011017;1;0;;false
1108320;1108320;0828000011017;1;0;;false
1108383;1108383;0828000011017;1;0;;false
1108494;1108494;0828000011017;1;0;;false
1108495;1108495;0828000011017;1;0;;false
1108497;1108497;0828000011017;1;0;;false
1108498;1108498;0828000011017;1;0;;false
1108499;1108499;0828000011017;1;0;;false
1108500;1108500;0828000011017;1;0;;false
1108502;1108502;0828000011017;1;0;;false
1109676;1109676;0828000011017;1;0;;false
1109677;1109677;0828000011017;1;0;;false
1108561;1108561;0828000011018;1;0;;false
1108562;1108562;0828000011018;1;0;;false
1108724;1108724;0828000011018;1;0;;false
1108725;1108725;0828000011018;1;0;;false
1109321;1109321;0828000011018;1;0;;false
1109322;1109322;0828000011018;1;0;;false
1109323;1109323;0828000011018;1;0;;false
1109324;1109324;0828000011018;1;0;;false
1109325;1109325;0828000011018;1;0;;false
1109328;1109328;0828000011018;1;0;;false
1109329;1109329;0828000011018;1;0;;false
1109330;1109330;0828000011018;1;0;;false
1109331;1109331;0828000011018;1;0;;false
1109601;1109601;0828000011018;1;0;;false
1109657;1109657;0828000011018;1;0;;false
1108680;1108680;0828000011019;1;0;;false
1108681;1108681;0828000011019;1;0;;false
1108682;1108682;0828000011019;1;0;;false
1108702;1108702;0828000011019;1;0;;false
1109267;1109267;0828000011019;1;0;;false
1109269;1109269;0828000011019;1;0;;false
1109508;1109508;0828000011019;1;0;;false
1109802;1109802;0828000011019;1;0;;false
1109803;1109803;0828000011019;1;0;;false
1108171;1108171;0828000011020;1;0;;false
1108178;1108178;0828000011020;1;0;;false
1108307;1108307;0828000011020;1;0;;false
1108309;1108309;0828000011020;1;0;;false
1108473;1108473;0828000011020;1;0;;false
1108480;1108480;0828000011020;1;0;;false
1108489;1108489;0828000011020;1;0;;false
1108496;1108496;0828000011020;1;0;;false
1108997;1108997;0828000011020;1;0;;false
1109120;1109120;0828000011020;1;0;;false
1109125;1109125;0828000011020;1;0;;false
1109315;1109315;0828000011020;1;0;;false
1109341;1109341;0828000011020;1;0;;false
1108167;1108167;0828000011021;1;0;;false
1108273;1108273;0828000011021;1;0;;false
1108274;1108274;0828000011021;1;0;;false
1108688;1108688;0828000011021;1;0;;false
1109266;1109266;0828000011021;1;0;;false
1109268;1109268;0828000011021;1;0;;false
1109335;1109335;0828000011021;1;0;;false
